 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 301  | Blissey            |  0.00007% | 137    |  0.024% | 43     |  0.016% | 
 | 302  | Stantler           |  0.00007% | 14     |  0.002% | 3      |  0.001% | 
 | 303  | Ambipom            |  0.00007% | 306    |  0.054% | 132    |  0.050% | 
 | 304  | Lanturn            |  0.00006% | 76     |  0.014% | 34     |  0.013% | 
 | 305  | Medicham           |  0.00006% | 132    |  0.023% | 58     |  0.022% | 
 | 306  | Rampardos          |  0.00006% | 119    |  0.021% | 59     |  0.023% | 
 | 307  | Sneasel-Hisui      |  0.00006% | 86     |  0.015% | 25     |  0.010% | 
 | 308  | Ariados            |  0.00005% | 53     |  0.009% | 20     |  0.008% | 
 | 309  | Dodrio             |  0.00005% | 13     |  0.002% | 4      |  0.002% | 
 | 310  | Skarmory           |  0.00005% | 99     |  0.018% | 31     |  0.012% | 
 | 311  | Zorua-Hisui        |  0.00005% | 4      |  0.001% | 1      |  0.000% | 
 | 312  | Venomoth           |  0.00005% | 77     |  0.014% | 18     |  0.007% | 
 | 313  | Gumshoos           |  0.00005% | 3      |  0.001% | 1      |  0.000% | 
 | 314  | Probopass          |  0.00005% | 26     |  0.005% | 9      |  0.003% | 
 | 315  | Diglett            |  0.00004% | 7      |  0.001% | 0      |  0.000% | 
 | 316  | Geodude-Alola      |  0.00004% | 13     |  0.002% | 2      |  0.001% | 
 | 317  | Grumpig            |  0.00004% | 56     |  0.010% | 35     |  0.013% | 
 | 318  | Yanma              |  0.00004% | 63     |  0.011% | 16     |  0.006% | 
 | 319  | Crabominable       |  0.00003% | 355    |  0.063% | 160    |  0.061% | 
